locality_full,amenity
"Johar Town, Lahore, Punjab",Gated Community
"Johar Town, Lahore, Punjab",Playground
"Johar Town, Lahore, Punjab",Community Park
"F-11, Islamabad, Islamabad Capital",Mosque
"F-11, Islamabad, Islamabad Capital",Sewerage System
"F-11, Islamabad, Islamabad Capital",Water Filtration Plant
"F-11, Islamabad, Islamabad Capital",Swimming Pool
"F-11, Islamabad, Islamabad Capital",Playground
"F-11, Islamabad, Islamabad Capital",Mini Golf / Sports Complex
"F-11, Islamabad, Islamabad Capital",Solar Street Lights
"F-11, Islamabad, Islamabad Capital",Wide Carpeted Roads
"F-11, Islamabad, Islamabad Capital",Community Park
"F-11, Islamabad, Islamabad Capital",Commercial Plaza Nearby
"F-10, Islamabad, Islamabad Capital",CCTV Surveillance
"F-10, Islamabad, Islamabad Capital",Solar Street Lights
"F-10, Islamabad, Islamabad Capital",Gated Community
"F-10, Islamabad, Islamabad Capital",Mini Golf / Sports Complex
"F-10, Islamabad, Islamabad Capital",Swimming Pool
"F-10, Islamabad, Islamabad Capital",Wide Carpeted Roads
"F-10, Islamabad, Islamabad Capital",Mosque
"G-11, Islamabad, Islamabad Capital",Gymnasium
"G-11, Islamabad, Islamabad Capital",Playground
"G-11, Islamabad, Islamabad Capital",Underground Electricity
"G-11, Islamabad, Islamabad Capital",Solar Street Lights
"G-11, Islamabad, Islamabad Capital",Community Park
"G-11, Islamabad, Islamabad Capital",Water Filtration Plant
"G-11, Islamabad, Islamabad Capital",Sewerage System
"G-11, Islamabad, Islamabad Capital",Wide Carpeted Roads
"G-11, Islamabad, Islamabad Capital",Commercial Plaza Nearby
"Ghauri Town, Islamabad, Islamabad Capital",Mini Golf / Sports Complex
"Ghauri Town, Islamabad, Islamabad Capital",Playground
"Ghauri Town, Islamabad, Islamabad Capital",Community Park
"Ghauri Town, Islamabad, Islamabad Capital",Gymnasium
"Ghauri Town, Islamabad, Islamabad Capital",Sewerage System
"Ghauri Town, Islamabad, Islamabad Capital",Water Filtration Plant
"Ghauri Town, Islamabad, Islamabad Capital",Gated Community
"Ghauri Town, Islamabad, Islamabad Capital",Swimming Pool
"Ghauri Town, Islamabad, Islamabad Capital",Solar Street Lights
"Ghauri Town, Islamabad, Islamabad Capital",24/7 Security
"I-10, Islamabad, Islamabad Capital",Gated Community
"I-10, Islamabad, Islamabad Capital",Gymnasium
"I-10, Islamabad, Islamabad Capital",Wide Carpeted Roads
"I-10, Islamabad, Islamabad Capital",Mini Golf / Sports Complex
"I-10, Islamabad, Islamabad Capital",Swimming Pool
"I-10, Islamabad, Islamabad Capital",Sewerage System
"I-10, Islamabad, Islamabad Capital",Underground Electricity
"I-10, Islamabad, Islamabad Capital",24/7 Security
"I-10, Islamabad, Islamabad Capital",Playground
"I-10, Islamabad, Islamabad Capital",Community Park
"Airport Housing Society, Rawalpindi, Punjab",Solar Street Lights
"Airport Housing Society, Rawalpindi, Punjab",Sewerage System
"Airport Housing Society, Rawalpindi, Punjab",Wide Carpeted Roads
"Airport Housing Society, Rawalpindi, Punjab",Gated Community
"Airport Housing Society, Rawalpindi, Punjab",Underground Electricity
"Airport Housing Society, Rawalpindi, Punjab",Swimming Pool
"Airport Housing Society, Rawalpindi, Punjab",Water Filtration Plant
"G-15, Islamabad, Islamabad Capital",Solar Street Lights
"G-15, Islamabad, Islamabad Capital",Community Park
"G-15, Islamabad, Islamabad Capital",Mosque
"G-15, Islamabad, Islamabad Capital",Water Filtration Plant
"G-15, Islamabad, Islamabad Capital",Sewerage System
"G-15, Islamabad, Islamabad Capital",Playground
"G-15, Islamabad, Islamabad Capital",Wide Carpeted Roads
"G-15, Islamabad, Islamabad Capital",Gated Community
"G-13, Islamabad, Islamabad Capital",Playground
"G-13, Islamabad, Islamabad Capital",Swimming Pool
"G-13, Islamabad, Islamabad Capital",Wide Carpeted Roads
"G-13, Islamabad, Islamabad Capital",Mini Golf / Sports Complex
"G-13, Islamabad, Islamabad Capital",Sewerage System
"G-13, Islamabad, Islamabad Capital",Underground Electricity
"G-13, Islamabad, Islamabad Capital",CCTV Surveillance
"G-13, Islamabad, Islamabad Capital",Solar Street Lights
"F-6, Islamabad, Islamabad Capital",Water Filtration Plant
"F-6, Islamabad, Islamabad Capital",Mosque
"F-6, Islamabad, Islamabad Capital",Gymnasium
"F-6, Islamabad, Islamabad Capital",Playground
"F-6, Islamabad, Islamabad Capital",Commercial Plaza Nearby
"F-6, Islamabad, Islamabad Capital",CCTV Surveillance
"F-6, Islamabad, Islamabad Capital",Gated Community
"F-6, Islamabad, Islamabad Capital",Solar Street Lights
"F-6, Islamabad, Islamabad Capital",Mini Golf / Sports Complex
"Faisal Town, Lahore, Punjab",24/7 Security
"Faisal Town, Lahore, Punjab",Water Filtration Plant
"Faisal Town, Lahore, Punjab",Sewerage System
"Faisal Town, Lahore, Punjab",Gymnasium
"Faisal Town, Lahore, Punjab",Wide Carpeted Roads
"Faisal Town, Lahore, Punjab",Playground
"Faisal Town, Lahore, Punjab",Mosque
"Faisal Town, Lahore, Punjab",CCTV Surveillance
"Model Town, Lahore, Punjab",Commercial Plaza Nearby
"Model Town, Lahore, Punjab",Community Park
"Model Town, Lahore, Punjab",Wide Carpeted Roads
"Model Town, Lahore, Punjab",Mini Golf / Sports Complex
"Model Town, Lahore, Punjab",CCTV Surveillance
"Model Town, Lahore, Punjab",Sewerage System
"Model Town, Lahore, Punjab",Gated Community
"Model Town, Lahore, Punjab",Swimming Pool
"Model Town, Lahore, Punjab",Gymnasium
"College Road, Lahore, Punjab",Mini Golf / Sports Complex
"College Road, Lahore, Punjab",24/7 Security
"College Road, Lahore, Punjab",Mosque
"College Road, Lahore, Punjab",Commercial Plaza Nearby
"College Road, Lahore, Punjab",CCTV Surveillance
"College Road, Lahore, Punjab",Playground
"College Road, Lahore, Punjab",Community Park
"College Road, Lahore, Punjab",Underground Electricity
