property_id,property_type,purpose,city,locality,location,price,price_bin,area_marla,area_sqft,bedrooms,baths,latitude,longitude,date_added,agent_id,agent
PROP-1010,House,For Sale,Lahore,"Madina Colony, Lahore, Punjab",Madina Colony,10000000,Medium,6.0,1633.51,4,5,31.491334,74.361305,05-04-2019,AG-03,Bilal Chaudhry
PROP-1011,House,For Sale,Lahore,"Model Town, Lahore, Punjab",Model Town,200000000,Very High,80.0,21780.08,6,6,31.483283,74.335728,06-29-2019,AG-03,Bilal Chaudhry
PROP-1012,House,For Sale,Lahore,"Allama Iqbal Town, Lahore, Punjab",Allama Iqbal Town,6000000,Low,2.0,544.5,3,2,31.518337,74.297862,02-03-2019,AG-01,Ahmed Raza
PROP-1013,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,60000000,Very High,40.0,10890.04,10,6,31.523954,74.42790699999999,02-03-2019,AG-01,Ahmed Raza
PROP-1014,Upper Portion,For Rent,Lahore,"Garden Town, Lahore, Punjab",Garden Town,26000,Low,5.0,1361.25,2,2,31.492981,74.31246800000001,07-20-2019,AG-02,Sana Malik
PROP-1015,House,For Rent,Lahore,"Township, Lahore, Punjab",Township,200000,Very High,20.0,5445.02,8,8,31.439026,74.295001,02-24-2019,AG-02,Sana Malik
PROP-1016,Farm House,For Sale,Lahore,"Cantt, Lahore, Punjab",Cantt,59500000,High,340.0,92565.34,0,0,31.526020000000003,74.446685,07-16-2019,AG-01,Ahmed Raza
PROP-1017,Upper Portion,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,70000,Very High,20.0,5445.02,2,2,31.47428,74.38091800000001,03-26-2019,AG-01,Ahmed Raza
PROP-1018,House,For Sale,Lahore,"Cantt, Lahore, Punjab",Cantt,13500000,Medium,10.0,2722.51,2,2,31.49858,74.40926999999999,06-25-2019,AG-03,Bilal Chaudhry
PROP-1019,Upper Portion,For Rent,Lahore,"HBFC Housing Society, Lahore, Punjab",HBFC Housing Society,38000,Medium,7.0,1905.76,2,0,31.455684,74.406953,07-17-2019,AG-03,Bilal Chaudhry
PROP-1020,House,For Sale,Lahore,"Allama Iqbal Town, Lahore, Punjab",Allama Iqbal Town,170000000,Very High,20.0,5445.02,0,0,31.522288,74.287734,05-04-2019,AG-03,Bilal Chaudhry
PROP-1021,Upper Portion,For Rent,Lahore,"PCSIR Staff Colony, Lahore, Punjab",PCSIR Staff Colony,30000,Medium,10.0,2722.51,3,3,31.431054,74.291125,07-10-2019,AG-01,Ahmed Raza
PROP-1022,House,For Sale,Lahore,"Bahria Town, Lahore, Punjab",Bahria Town,22500000,High,10.0,2722.51,5,6,31.352611,74.16516800000001,06-11-2019,AG-03,Bilal Chaudhry
PROP-1023,House,For Rent,Lahore,"Johar Town, Lahore, Punjab",Johar Town,90000,High,10.0,2722.51,5,7,31.469082,74.266148,07-17-2019,AG-02,Sana Malik
PROP-1024,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,52500000,Very High,20.0,5445.02,6,7,31.458686,74.406624,06-18-2019,AG-02,Sana Malik
PROP-1025,House,For Sale,Lahore,"Johar Town, Lahore, Punjab",Johar Town,13200000,Medium,5.0,1361.25,4,5,31.469082,74.266148,06-29-2019,AG-03,Bilal Chaudhry
PROP-1026,House,For Sale,Lahore,"Harbanspura Road, Lahore, Punjab",Harbanspura Road,8000000,Low,5.0,1361.25,0,0,33.588311344901,73.03539276123,09-07-2018,AG-03,Bilal Chaudhry
PROP-1027,House,For Sale,Lahore,"GT Road, Lahore, Punjab",GT Road,3600000,Low,3.0,816.75,3,3,31.724188,74.26220699999999,07-17-2019,AG-03,Bilal Chaudhry
PROP-1028,Upper Portion,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,80000,Very High,20.0,5445.02,3,4,31.461468,74.389973,07-17-2019,AG-03,Bilal Chaudhry
PROP-1029,House,For Sale,Lahore,"Inmol Society, Lahore, Punjab",Inmol Society,30000000,High,20.0,5445.02,5,0,31.405492,74.40593199999999,03-05-2019,AG-01,Ahmed Raza
PROP-1030,Upper Portion,For Rent,Lahore,"TECH Society, Lahore, Punjab",TECH Society,70000,Very High,26.0,7078.53,3,3,31.488626,74.284816,07-22-2019,AG-03,Bilal Chaudhry
PROP-1031,House,For Sale,Lahore,"Faisal Town, Lahore, Punjab",Faisal Town,59000000,Very High,10.0,2722.51,4,0,31.475414,74.30851899999999,07-12-2019,AG-01,Ahmed Raza
PROP-1032,House,For Sale,Lahore,"Thokar Niaz Baig, Lahore, Punjab",Thokar Niaz Baig,90000000,Very High,40.0,10890.04,5,0,31.470693,74.241357,05-03-2019,AG-03,Bilal Chaudhry
PROP-1033,House,For Sale,Lahore,"Chungi Amar Sadhu, Lahore, Punjab",Chungi Amar Sadhu,4200000,Low,2.5,680.63,3,2,31.450925,74.354287,01-04-2019,AG-01,Ahmed Raza
PROP-1034,House,For Rent,Lahore,"Wapda Town, Lahore, Punjab",Wapda Town,75000,Medium,10.0,2722.51,5,5,31.421046,74.263186,07-21-2019,AG-01,Ahmed Raza
PROP-1035,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,59500000,Very High,20.0,5445.02,5,6,31.462493,74.40934200000001,06-18-2019,AG-01,Ahmed Raza
PROP-1036,House,For Sale,Lahore,"Nawab Town, Lahore, Punjab",Nawab Town,28000000,High,20.0,5445.02,6,6,31.452609,74.249039,09-06-2018,AG-01,Ahmed Raza
PROP-1037,House,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,250000,Very High,40.0,10890.04,5,6,31.478745,74.407969,04-25-2019,AG-01,Ahmed Raza
PROP-1038,House,For Sale,Lahore,"Township, Lahore, Punjab",Township,16000000,Medium,10.0,2722.51,2,2,31.439026,74.295001,03-05-2019,AG-03,Bilal Chaudhry
PROP-1039,House,For Rent,Lahore,"Upper Mall, Lahore, Punjab",Upper Mall,185000,Very High,30.0,8167.53,5,6,31.542114,74.355898,03-26-2019,AG-01,Ahmed Raza
PROP-1040,House,For Sale,Lahore,"DHA 11 Rahbar, Lahore, Punjab",DHA 11 Rahbar,17000000,High,8.0,2178.01,5,6,31.389326,74.252551,07-17-2019,AG-02,Sana Malik
PROP-1041,House,For Sale,Lahore,"Punjab Coop Housing Society, Lahore, Punjab",Punjab Coop Housing Society,14000000,Medium,5.0,1361.25,3,0,31.458979,74.373565,07-01-2019,AG-02,Sana Malik
PROP-1042,House,For Rent,Lahore,"Johar Town, Lahore, Punjab",Johar Town,52000,Medium,5.0,1361.25,4,5,31.469082,74.266148,07-17-2019,AG-02,Sana Malik
PROP-1043,Upper Portion,For Rent,Lahore,"Johar Town, Lahore, Punjab",Johar Town,60000,High,30.0,8167.53,5,0,31.469558000000003,74.28139,06-24-2019,AG-03,Bilal Chaudhry
PROP-1044,House,For Sale,Lahore,"Samanabad, Lahore, Punjab",Samanabad,3800000,Low,2.0,544.5,3,3,31.539206,74.305515,07-03-2019,AG-01,Ahmed Raza
PROP-1045,House,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,220000,Very High,20.0,5445.02,6,7,31.471571,74.44590600000001,01-25-2019,AG-03,Bilal Chaudhry
PROP-1046,House,For Rent,Lahore,"Wapda Town, Lahore, Punjab",Wapda Town,60000,Medium,10.0,2722.51,5,5,31.436646000000003,74.267135,07-21-2019,AG-01,Ahmed Raza
PROP-1047,House,For Sale,Lahore,"Taj Bagh Scheme, Lahore, Punjab",Taj Bagh Scheme,6500000,Low,3.0,816.75,3,0,31.563252,74.413877,06-28-2019,AG-03,Bilal Chaudhry
PROP-1048,Upper Portion,For Rent,Lahore,"Military Accounts Housing Society, Lahore, Punjab",Military Accounts Housing Society,30000,Medium,8.0,2178.01,3,0,31.421266,74.28397199999999,07-17-2019,AG-02,Sana Malik
PROP-1049,House,For Sale,Lahore,"Al-Hafiz Town, Lahore, Punjab",Al-Hafiz Town,12500000,Medium,5.0,1361.25,5,6,31.508595,74.249121,07-03-2019,AG-02,Sana Malik
PROP-1050,House,For Sale,Lahore,"Canal Bank Housing Scheme, Lahore, Punjab",Canal Bank Housing Scheme,4500000,Low,2.0,544.5,3,3,31.572434,74.413002,06-11-2019,AG-01,Ahmed Raza
PROP-1051,House,For Sale,Lahore,"Gulshan-e-Ravi, Lahore, Punjab",Gulshan-e-Ravi,15000000,Medium,5.0,1361.25,3,4,31.551184000000003,74.284058,07-03-2019,AG-03,Bilal Chaudhry
PROP-1052,House,For Sale,Lahore,"Raiwind Road, Lahore, Punjab",Raiwind Road,14000000,Medium,8.0,2178.01,4,6,31.429249,74.23078000000001,08-07-2018,AG-01,Ahmed Raza
PROP-1053,Upper Portion,For Rent,Lahore,"Valencia Housing Society, Lahore, Punjab",Valencia Housing Society,42000,High,20.0,5445.02,3,3,31.40537,74.257078,07-19-2019,AG-02,Sana Malik
PROP-1054,House,For Sale,Lahore,"Cantt, Lahore, Punjab",Cantt,7000000,Low,4.0,1089.0,4,4,31.490127,74.418805,07-21-2019,AG-03,Bilal Chaudhry
PROP-1055,House,For Sale,Lahore,"Harbanspura, Lahore, Punjab",Harbanspura,7500000,Low,3.0,816.75,3,4,31.572261,74.417101,04-03-2019,AG-02,Sana Malik
PROP-1056,Upper Portion,For Rent,Lahore,"Model Town, Lahore, Punjab",Model Town,50000,High,20.0,5445.02,3,0,31.491115,74.332538,07-18-2019,AG-02,Sana Malik
PROP-1057,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,58500000,Very High,20.0,5445.02,5,6,31.471571,74.44590600000001,06-19-2019,AG-03,Bilal Chaudhry
PROP-1058,House,For Sale,Lahore,"Askari, Lahore, Punjab",Askari,23000000,High,10.0,2722.51,0,4,31.547381,74.39389200000001,09-06-2018,AG-01,Ahmed Raza
PROP-1059,House,For Sale,Lahore,"Bhatta Chowk, Lahore, Punjab",Bhatta Chowk,12500000,Medium,5.0,1361.25,4,5,31.487441,74.41206,01-04-2019,AG-03,Bilal Chaudhry
PROP-1060,House,For Sale,Lahore,"Ferozepur Road, Lahore, Punjab",Ferozepur Road,4000000,Low,2.5,680.63,2,2,31.502166,74.333439,05-04-2019,AG-02,Sana Malik
PROP-1061,House,For Sale,Lahore,"West Wood Housing Society, Lahore, Punjab",West Wood Housing Society,11000000,Medium,10.0,2722.51,2,2,31.465787887573,74.237884521484,06-30-2019,AG-02,Sana Malik
PROP-1062,House,For Sale,Lahore,"Paragon City, Lahore, Punjab",Paragon City,17000000,High,10.0,2722.51,3,4,31.533372,74.45134200000001,06-18-2019,AG-01,Ahmed Raza
PROP-1063,Lower Portion,For Rent,Lahore,"Shershah Colony - Raiwind Road, Lahore, Punjab",Shershah Colony - Raiwind Road,16000,Low,3.0,816.75,1,1,31.410095,74.222553,07-22-2019,AG-03,Bilal Chaudhry
PROP-1064,House,For Rent,Lahore,"Johar Town, Lahore, Punjab",Johar Town,250000,Very High,40.0,10890.04,6,6,31.462347,74.293642,03-26-2019,AG-02,Sana Malik
PROP-1065,Lower Portion,For Rent,Lahore,"Mughalpura, Lahore, Punjab",Mughalpura,15000,Low,6.0,1633.51,2,1,31.563398,74.3891,04-25-2019,AG-01,Ahmed Raza
PROP-1066,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,44000000,Very High,10.0,2722.51,5,7,31.462493,74.40934200000001,07-03-2019,AG-01,Ahmed Raza
PROP-1067,House,For Sale,Lahore,"Punjab Govt Employees Society, Lahore, Punjab",Punjab Govt Employees Society,17400000,High,10.0,2722.51,3,3,31.420167,74.285746,06-19-2019,AG-03,Bilal Chaudhry
PROP-1068,House,For Sale,Lahore,"Al Rehman Garden, Lahore, Punjab",Al Rehman Garden,9000000,Low,5.0,1361.25,3,4,31.594039,74.227489,03-05-2019,AG-01,Ahmed Raza
PROP-1069,House,For Sale,Lahore,"GT Road, Lahore, Punjab",GT Road,6500000,Low,5.0,1361.25,3,3,31.597832537936,74.472565412652,06-03-2019,AG-02,Sana Malik
PROP-1070,Upper Portion,For Rent,Lahore,"Bedian Road, Lahore, Punjab",Bedian Road,15000,Low,5.0,1361.25,2,2,31.473474,74.429569,06-24-2019,AG-01,Ahmed Raza
PROP-1071,House,For Sale,Lahore,"Wahdat Road, Lahore, Punjab",Wahdat Road,12000000,Medium,5.0,1361.25,4,4,31.506008,74.29315600000001,06-11-2019,AG-02,Sana Malik
PROP-1072,Flat,For Sale,Lahore,"Cantt, Lahore, Punjab",Cantt,25000000,Very High,7.0,1905.76,2,3,31.5288,74.39312,06-19-2019,AG-02,Sana Malik
PROP-1073,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,34000000,Very High,20.0,5445.02,5,6,31.469521000000004,74.363322,06-02-2019,AG-01,Ahmed Raza
PROP-1074,House,For Sale,Lahore,"Bahadurabad, Lahore, Punjab",Bahadurabad,2500000,Low,1.7,462.83,2,2,31.45156,74.377321,05-03-2019,AG-01,Ahmed Raza
PROP-1075,House,For Sale,Lahore,"Sui Gas Housing Society, Lahore, Punjab",Sui Gas Housing Society,29900000,High,20.0,5445.02,5,6,31.453561,74.398513,06-25-2019,AG-03,Bilal Chaudhry
PROP-1076,House,For Rent,Lahore,"BOR - Board of Revenue Housing Society, Lahore, Punjab",BOR - Board of Revenue Housing Society,47000,Medium,5.0,1361.25,3,0,31.478452,74.296846,05-25-2019,AG-01,Ahmed Raza
PROP-1077,House,For Sale,Lahore,"HBFC Housing Society, Lahore, Punjab",HBFC Housing Society,22000000,High,18.0,4900.52,0,0,31.455684,74.406953,06-02-2019,AG-01,Ahmed Raza
PROP-1078,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,27000000,High,10.0,2722.51,4,5,31.506612,74.440696,02-23-2019,AG-01,Ahmed Raza
PROP-1079,House,For Sale,Lahore,"Raiwind Road, Lahore, Punjab",Raiwind Road,11200000,Medium,5.0,1361.25,3,0,31.318439,74.22528299999999,07-20-2019,AG-01,Ahmed Raza
PROP-1080,House,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,140000,High,20.0,5445.02,0,0,31.455721,74.386368,07-03-2019,AG-02,Sana Malik
PROP-1081,Flat,For Rent,Lahore,"Askari, Lahore, Punjab",Askari,48000,High,10.0,2722.51,3,3,31.544308,74.383832,03-26-2019,AG-02,Sana Malik
PROP-1082,House,For Rent,Lahore,"Faisal Town, Lahore, Punjab",Faisal Town,150000,High,20.0,5445.02,5,5,31.478013,74.304285,07-23-2019,AG-03,Bilal Chaudhry
PROP-1083,Flat,For Rent,Lahore,"Johar Town, Lahore, Punjab",Johar Town,20000,Low,1.3,353.93,2,1,31.468826,74.273973,06-24-2019,AG-02,Sana Malik
PROP-1084,Farm House,For Sale,Lahore,"Cantt, Lahore, Punjab",Cantt,22000000,Medium,80.0,21780.08,0,0,31.526020000000003,74.446685,06-11-2019,AG-02,Sana Malik
PROP-1085,House,For Sale,Lahore,"Baghbanpura, Lahore, Punjab",Baghbanpura,3500000,Low,2.0,544.5,2,2,31.584531,74.372978,09-06-2018,AG-01,Ahmed Raza
PROP-1086,House,For Sale,Lahore,"Al Rehman Garden, Lahore, Punjab",Al Rehman Garden,5500000,Low,3.0,816.75,1,1,31.590489,74.224176,05-03-2019,AG-03,Bilal Chaudhry
PROP-1087,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,27500000,High,10.0,2722.51,4,5,31.494408,74.43766600000001,06-18-2019,AG-03,Bilal Chaudhry
PROP-1088,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,70000000,Very High,20.0,5445.02,5,6,31.465422,74.38530899999999,05-03-2019,AG-01,Ahmed Raza
PROP-1089,House,For Sale,Lahore,"Baghbanpura, Lahore, Punjab",Baghbanpura,9500000,Low,7.0,1905.76,0,0,31.584531,74.372978,01-04-2019,AG-03,Bilal Chaudhry
PROP-1090,House,For Rent,Lahore,"Gulberg, Lahore, Punjab",Gulberg,125000,High,20.0,5445.02,5,5,31.495909,74.350569,07-17-2019,AG-02,Sana Malik
PROP-1091,House,For Rent,Lahore,"Model Town, Lahore, Punjab",Model Town,110000,High,15.0,4083.76,4,6,31.491115,74.332538,07-10-2019,AG-02,Sana Malik
PROP-1092,House,For Rent,Lahore,"Ferozepur Road, Lahore, Punjab",Ferozepur Road,150000,High,22.0,5989.52,10,6,31.403327,74.362115,04-25-2019,AG-01,Ahmed Raza
PROP-1093,House,For Sale,Lahore,"Green Town, Lahore, Punjab",Green Town,10000000,Medium,5.0,1361.25,2,2,31.434742,74.30472900000001,07-03-2019,AG-02,Sana Malik
PROP-1094,House,For Sale,Lahore,"Daroghewala, Lahore, Punjab",Daroghewala,3700000,Low,3.2,871.2,4,3,31.588478,74.400444,03-05-2019,AG-02,Sana Malik
PROP-1095,House,For Sale,Lahore,"Allama Iqbal Town, Lahore, Punjab",Allama Iqbal Town,24000000,High,13.5,3675.39,5,0,31.525215000000003,74.29065200000001,07-12-2019,AG-01,Ahmed Raza
PROP-1096,House,For Sale,Lahore,"Johar Town, Lahore, Punjab",Johar Town,15000000,Medium,5.0,1361.25,0,0,31.455867,74.274273,07-03-2019,AG-02,Sana Malik
PROP-1097,House,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,160000,High,20.0,5445.02,6,6,31.466447,74.408984,07-18-2019,AG-01,Ahmed Raza
PROP-1098,House,For Sale,Lahore,"Iqbal Avenue, Lahore, Punjab",Iqbal Avenue,19500000,High,10.0,2722.51,5,0,31.424562,74.190281,06-11-2019,AG-01,Ahmed Raza
PROP-1099,Upper Portion,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,85000,Very High,20.0,5445.02,3,3,31.473877,74.39817,05-25-2019,AG-01,Ahmed Raza
PROP-1100,Lower Portion,For Rent,Lahore,"Township, Lahore, Punjab",Township,23000,Low,5.0,1361.25,2,2,31.453414,74.31623,07-10-2019,AG-03,Bilal Chaudhry
PROP-1101,House,For Sale,Lahore,"Lahore Motorway City, Lahore, Punjab",Lahore Motorway City,2800000,Low,3.0,816.75,2,1,31.643481,74.209875,07-11-2019,AG-01,Ahmed Raza
PROP-1102,House,For Sale,Lahore,"Bedian Road, Lahore, Punjab",Bedian Road,13500000,Medium,9.0,2450.26,4,4,31.473475,74.429565,07-03-2019,AG-01,Ahmed Raza
PROP-1103,House,For Sale,Lahore,"China Scheme, Lahore, Punjab",China Scheme,13000000,Medium,6.6,1796.86,5,6,31.598642,74.359374,08-07-2018,AG-01,Ahmed Raza
PROP-1104,House,For Sale,Lahore,"Salamatpura, Lahore, Punjab",Salamatpura,6000000,Low,4.0,1089.0,4,4,31.582849,74.417009,08-07-2018,AG-02,Sana Malik
PROP-1105,House,For Sale,Lahore,"Nawab Town, Lahore, Punjab",Nawab Town,6500000,Low,3.0,816.75,3,5,31.452609,74.249039,03-05-2019,AG-02,Sana Malik
PROP-1106,House,For Sale,Lahore,"Marghzar Officers Colony, Lahore, Punjab",Marghzar Officers Colony,17500000,High,13.0,3539.26,3,0,31.505093,74.244576,07-23-2019,AG-01,Ahmed Raza
PROP-1107,House,For Rent,Lahore,"Garden Town, Lahore, Punjab",Garden Town,425000,Very High,80.0,21780.08,7,10,31.503922,74.323139,06-24-2019,AG-03,Bilal Chaudhry
PROP-1108,Flat,For Sale,Lahore,"Labor Colony, Lahore, Punjab",Labor Colony,2490000,Low,3.0,816.75,2,2,31.40396,74.214497,07-23-2019,AG-03,Bilal Chaudhry
PROP-1109,House,For Rent,Lahore,"Divine Gardens, Lahore, Punjab",Divine Gardens,55000,Medium,10.0,2722.51,4,4,31.50308,74.412864,07-17-2019,AG-01,Ahmed Raza
PROP-1110,House,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,48000,Medium,5.0,1361.25,3,4,31.465693868786,74.363099634647,07-10-2019,AG-02,Sana Malik
PROP-1111,House,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,75000,Medium,10.0,2722.51,3,3,31.461761,74.36834300000001,07-24-2019,AG-03,Bilal Chaudhry
PROP-1112,Flat,For Sale,Lahore,"Bagarian, Lahore, Punjab",Bagarian,8500000,High,8.0,2178.01,11,10,31.425944,74.295998,07-03-2019,AG-01,Ahmed Raza
PROP-1113,House,For Sale,Lahore,"Askari, Lahore, Punjab",Askari,41500000,Very High,17.0,4628.27,5,6,31.533849,74.409633,06-18-2019,AG-03,Bilal Chaudhry
PROP-1114,House,For Sale,Lahore,"Walled City, Lahore, Punjab",Walled City,8500000,Low,3.0,816.75,5,2,31.584129,74.31456999999999,07-18-2019,AG-01,Ahmed Raza
PROP-1115,House,For Sale,Lahore,"State Life Housing Society, Lahore, Punjab",State Life Housing Society,45500000,Very High,20.0,5445.02,5,6,31.44558,74.401217,06-18-2019,AG-02,Sana Malik
PROP-1116,House,For Sale,Lahore,"Elite Town, Lahore, Punjab",Elite Town,3000000,Low,5.0,1361.25,3,3,31.340003000000003,74.372277,11-05-2018,AG-03,Bilal Chaudhry
PROP-1117,House,For Sale,Lahore,"Fateh Garh, Lahore, Punjab",Fateh Garh,8500000,Low,6.0,1633.51,2,2,31.568790000000003,74.40495,10-06-2018,AG-02,Sana Malik
PROP-1118,Upper Portion,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,58000,High,20.0,5445.02,3,3,31.471571,74.44590600000001,06-24-2019,AG-01,Ahmed Raza
PROP-1119,House,For Sale,Lahore,"Cantt, Lahore, Punjab",Cantt,6000000,Low,2.5,680.63,3,3,31.5288,74.39312,03-04-2019,AG-02,Sana Malik
PROP-1120,House,For Sale,Lahore,"Wapda Town, Lahore, Punjab",Wapda Town,18000000,High,10.0,2722.51,5,6,31.430421000000003,74.267721,05-04-2019,AG-02,Sana Malik
PROP-1121,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,55000000,Very High,20.0,5445.02,5,6,31.467105,74.459581,11-05-2018,AG-01,Ahmed Raza
PROP-1122,House,For Sale,Lahore,"Punjab Coop Housing Society, Lahore, Punjab",Punjab Coop Housing Society,30000000,High,24.0,6534.02,5,6,31.458979,74.373565,06-03-2019,AG-01,Ahmed Raza
PROP-1123,Room,For Rent,Lahore,"Johar Town, Lahore, Punjab",Johar Town,6500,Low,1.0,272.25,1,1,31.461066,74.27881500000001,12-26-2018,AG-02,Sana Malik
PROP-1124,House,For Rent,Lahore,"Johar Town, Lahore, Punjab",Johar Town,32000,Low,8.0,2178.01,3,4,31.454696,74.28719,07-20-2019,AG-03,Bilal Chaudhry
PROP-1125,House,For Rent,Lahore,"Cavalry Ground, Lahore, Punjab",Cavalry Ground,200000,Very High,24.0,6534.02,6,7,31.500556,74.367728,05-25-2019,AG-02,Sana Malik
PROP-1126,House,For Sale,Lahore,"Lalazaar Garden, Lahore, Punjab",Lalazaar Garden,7200000,Low,3.0,816.75,3,3,31.509067,74.246771,07-11-2019,AG-01,Ahmed Raza
PROP-1127,House,For Sale,Lahore,"Gulberg, Lahore, Punjab",Gulberg,30000000,High,11.0,2994.76,4,4,31.505678000000003,74.348202,10-06-2018,AG-01,Ahmed Raza
PROP-1128,House,For Rent,Lahore,"Johar Town, Lahore, Punjab",Johar Town,38000,Low,5.0,1361.25,3,0,31.466154,74.29641,05-25-2019,AG-01,Ahmed Raza
PROP-1129,House,For Sale,Lahore,"Johar Town, Lahore, Punjab",Johar Town,38000000,Very High,20.0,5445.02,0,0,31.462347,74.293642,07-02-2019,AG-02,Sana Malik
PROP-1130,House,For Sale,Lahore,"Architects Engineers Housing Society, Lahore, Punjab",Architects Engineers Housing Society,13700000,Medium,10.0,2722.51,2,2,31.444298,74.259288,07-15-2019,AG-03,Bilal Chaudhry
PROP-1131,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,14500000,Medium,5.0,1361.25,3,4,31.462493,74.452372,06-03-2019,AG-03,Bilal Chaudhry
PROP-1132,House,For Sale,Lahore,"Johar Town, Lahore, Punjab",Johar Town,14000000,Medium,6.0,1633.51,5,5,31.455867,74.274273,06-19-2019,AG-03,Bilal Chaudhry
PROP-1133,House,For Rent,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,175000,High,20.0,5445.02,4,5,31.460919,74.41083,07-23-2019,AG-01,Ahmed Raza
PROP-1134,House,For Sale,Lahore,"Pak Arab Housing Society, Lahore, Punjab",Pak Arab Housing Society,10000000,Medium,5.0,1361.25,3,0,31.426905,74.341689,07-17-2019,AG-01,Ahmed Raza
PROP-1135,House,For Sale,Lahore,"Shershah Colony - Raiwind Road, Lahore, Punjab",Shershah Colony - Raiwind Road,5400000,Low,3.0,816.75,2,3,31.410095,74.222553,04-03-2019,AG-01,Ahmed Raza
PROP-1136,House,For Sale,Lahore,"Eden, Lahore, Punjab",Eden,10500000,Medium,5.0,1361.25,4,5,31.417824,74.282074,07-03-2019,AG-01,Ahmed Raza
PROP-1137,House,For Sale,Lahore,"Township, Lahore, Punjab",Township,5500000,Low,2.5,680.63,2,0,31.453414,74.31623,07-02-2019,AG-02,Sana Malik
PROP-1138,House,For Sale,Lahore,"Punjab Govt Employees Society, Lahore, Punjab",Punjab Govt Employees Society,17500000,High,10.0,2722.51,0,0,31.443383,74.286325,02-03-2019,AG-02,Sana Malik
PROP-1139,House,For Rent,Lahore,"Wapda Town, Lahore, Punjab",Wapda Town,115000,High,20.0,5445.02,6,6,31.434522,74.266148,06-26-2019,AG-01,Ahmed Raza
PROP-1140,House,For Sale,Lahore,"DHA Defence, Lahore, Punjab",DHA Defence,12900000,Medium,5.0,1361.25,3,4,31.443859000000003,74.44051999999999,06-11-2019,AG-03,Bilal Chaudhry
